restaurant_name,address,rating,bikeStationAddress,bikeStationDistance
Parallel,217 Geary Ave,8.4,Primrose Ave / Davenport Rd,617
Rio 40 Restaurant,1256 Saint Clair Ave W,8.3,Primrose Ave / Davenport Rd,657
Rio 40 Restaurant,1256 Saint Clair Ave W,8.3,Primrose Ave / Davenport Rd,657
Piri-Piri,1444 Dupont St,8.2,Primrose Ave / Davenport Rd,654
Pizza e Pazzi,1182 Saint Clair Ave W,8.1,Primrose Ave / Davenport Rd,733
The Sovereign,1359 Davenport Rd,7.7,Primrose Ave / Davenport Rd,494
Desotos,1079 Saint Clair Ave W,8.3,Primrose Ave / Davenport Rd,946
La Paloma Gelateria & Cafe,1357 Saint Clair Ave W,7.7,Primrose Ave / Davenport Rd,659
Rorschach Brewing,1001 Eastern Ave,8.3,Queen St. E / Rhodes Ave.,349
Udupi Palace,1460 Gerrard St E,8.5,Queen St. E / Rhodes Ave.,752
O Sushi,6 Coxwell Ave,7.4,Queen St. E / Rhodes Ave.,100
Lake Inez,1471 Gerrard St E,8.4,Queen St. E / Rhodes Ave.,740
Brett's Ice Cream,1698 Queen St W,7.7,Queen St. E / Rhodes Ave.,406
Godspeed Brewery,242 Coxwell Ave,8.1,Queen St. E / Rhodes Ave.,709
McDonald's,31 Woodward Ave,7.4,Queen St. E / Rhodes Ave.,172
Hasting Snack Bar,5 Hastings Ave,8.5,Queen St. E / Rhodes Ave.,950
Hasting Snack Bar,5 Hastings Ave,8.5,Queen St. E / Rhodes Ave.,950
Casa Di Giorgios,1646 Queen St E,7.3,Queen St. E / Rhodes Ave.,205
Casa Di Giorgios,1646 Queen St E,7.3,Queen St. E / Rhodes Ave.,205
Glory Hole Doughnuts,1505 Gerrard St E,7.7,Queen St. E / Rhodes Ave.,727
Dineen Coffee Co,140 Yonge St,8.9,Bond St / Queen St E,346
Terroni,57A Adelaide St E,8.6,Bond St / Queen St E,271
Kyoto Katsugyu,134 Dundas St E,9.1,Bond St / Queen St E,394
Beer Bistro,18 King St E,8.9,Bond St / Queen St E,426
Hokkaido Ramen Santouka,91 Dundas St E,8.5,Bond St / Queen St E,362
CRAFT Beer Market Toronto,1 Adelaide St E,8.3,Bond St / Queen St E,371
Leña Restaurante,176 Yonge St,8.1,Bond St / Queen St E,261
Leña Restaurante,176 Yonge St,8.1,Bond St / Queen St E,261
Sukho Thai,52 Wellington St E,8.7,Bond St / Queen St E,555
The Poke Box,36 Toronto St,8.1,Bond St / Queen St E,309
The Poke Box,36 Toronto St,8.1,Bond St / Queen St E,309
Black Eagle,457 Church St,8.1,Church St / Alexander St,43
