restaurant_name,address,rating,review_count,reslatitude,reslongitude,bikeStationAddress,bikeStationDistance,latitude,longitude,freeBikes
Tim Hortons,637 Kingston Rd,6.4,0.0,,,Southwood Dr / Kingston Rd - SMART,4.0,43.678685,-79.297974,1
Pennies,127 Strachan Ave,8.1,0.0,,,Adelaide St W / Strachan Ave,5.0,43.64325309,-79.4123047,8
Cafe Cocoro,1989 Danforth Ave,0.0,0.0,,,108 East Lynn Avenue,10.0,43.6850809,-79.3149901,4
Famoso Neapolitan Pizzeria - Annex,386 Bloor St W,8.0,0.0,,,Dalton Rd / Bloor St W,12.0,43.6662942,-79.4066433,2
Forno Cultura,609 King St W,9.0,0.0,,,620 King Street West,12.0,43.644395,-79.4006543,15
Sam James Coffee Bar,297 Harbord St,8.4,0.0,,,Harbord St / Clinton St,14.0,43.660414,-79.415646,5
Piedmont Coffee Bar,66 Isabella St,8.1,0.0,,,Isabella St / Church St - SMART,14.0,43.66834,-79.38235,0
Le Select Bistro,432 Wellington St W,8.9,0.0,,,424 Wellington St W,15.0,43.643834,-79.396649,14
A&W Restaurant,8 Mercer St,8.2,0.0,,,John St / Mercer St - SMART,16.0,43.6461,-79.3895,11
Radical Road Brewing Co,1177 Queen St E,8.0,0.0,,,Queen St E / Rushbrooke Ave,16.0,43.6626628,-79.3323698,12
Panago Pizza Inc,188 Eglinton Ave E,7.4,0.0,,,Eglinton Ave W / Redpath Av,17.0,43.7078691,-79.39248,0
Loga's Corner,216C Close Ave,8.6,0.0,,,Queen St W / Close Ave,17.0,43.640634,-79.435841,22
Long Branch Fish & Chips,3260 Lake Shore Blvd W,0.0,0.0,,,Lake Shore Blvd W / Twenty Fourth St,17.0,43.597082,-79.522768,4
Sushi Supreme,1995 Yonge St,7.0,0.0,,,Glebe Rd / Yonge St,18.0,43.7005976,-79.397345,7
Cafe Neon,1024 Queen St W,8.7,0.0,,,Queen St W / Ossington Ave,18.0,43.643975,-79.419576,19
Reunion Island Coffee Bar,385 Roncesvalles Ave,8.0,0.0,,,Roncesvalles Ave / Marmaduke St,18.0,43.650492,-79.450842,11
The 3 Brewers,275 Yonge St,7.8,0.0,,,Toronto Eaton Centre (Yonge St),19.0,43.655431,-79.380653,12
Double Sushi Japanese Restaurant,2795 Danforth Ave,6.4,0.0,,,Trent Ave / Danforth Ave - SMART,20.0,43.689293,-79.295895,8
