bikeStationAddress,latitude,longitude,freeBikes
Queen St E / Woodward Ave,43.665269,-79.319796,19
Primrose Ave / Davenport Rd,43.67142,-79.445947,5
Queen St. E / Rhodes Ave.,43.666224,-79.317693,9
Bond St / Queen St E,43.653236,-79.376716,12
Church St / Alexander St,43.663722,-79.380288,0
University Ave / Gerrard St W,43.657763,-79.389165,6
Edward St / Yonge St,43.656729,-79.382736,1
Euclid Ave / Bloor St W,43.664467,-79.414783,0
Yonge St / Aylmer Ave,43.675492,-79.388858,2
Davenport Rd / Avenue Rd,43.674991,-79.396273,2
Yonge St / Yorkville Ave,43.671944,-79.387778,1
Dundas St E / Broadview Ave,43.662365,-79.351104,12
Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,14
Gerrard St E / River St,43.663993,-79.358534,10
Jarvis St / Dundas St E,43.657266,-79.374756,6
Logan Av / Gerrard St E,43.6672144,-79.3452697,12
Regal Rd / Dufferin St,43.673939,-79.441159,1
Morse St / Eastern Ave,43.657991,-79.340075,11
Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408,15
Blake St / Boultbee Ave,43.672453,-79.338259,6
Eastern Ave / Winnifred Ave,43.6592088,-79.3348396,13
Gamble Ave / Broadview Ave,43.689211,-79.35438,4
Toronto Eaton Centre (Yonge St),43.655431,-79.380653,12
111 Bond St (North of Dundas St E),43.656927,-79.378497,13
Wallace Ave / Symington Ave,43.661324,-79.449534,5
Dundas St E / Pembroke St,43.658295,-79.372346,2
Victoria Park Subway Station,43.6940155,-79.2889842,12
Wychwood Ave / Benson Ave,43.6809164,-79.4229684,3
Lawton Blvd / Yonge St,43.6910667,-79.39535,11
Yonge St / Davisville Ave,43.6975969,-79.39654,0
Fort York  Blvd / Capreol Ct,43.639832,-79.395954,18
Madison Ave / Bloor St W,43.667158,-79.402761,5
St. George St / Bloor St W,43.667333,-79.399429,11
King St W / York St,43.6480008,-79.383177,17
University Ave / Elm St,43.656518,-79.389099,11
College St / Huron St,43.658148,-79.398167,4
Rosehill Ave / Avoca Ave,43.687999,-79.38906,2
HTO Park (Queens Quay W),43.63796,-79.387502,4
Bloor St W / Dundas St W,43.6563889,-79.45166667,15
Bathurst St / Fort York Blvd,43.639179,-79.399595,12
Ontario Place Blvd / Lake Shore Blvd W (East),43.6322445,-79.4108105,19
Spadina Ave / Willcocks St,43.6616667,-79.40138889,7
Cariboo St / Rail Path,43.66666667,-79.45833333,0
Dundas St W / Edna Ave,43.657192,-79.452559,14
College St / Major St,43.6576,-79.4032,0
McGill St / Church St,43.660694,-79.379052,0
Queens Quay W / Dan Leckie Way,43.636533,-79.395854,25
York St / Queens Quay W,43.640132,-79.380464,45
College Park South,43.659777,-79.382767,17
25 York St – Union Station South,43.643667,-79.380414,10
161 Bleecker St (South of Wellesley),43.666233,-79.373327,0
Spadina Ave / Fort York Blvd,43.640114,-79.393249,18
Exhibition GO (Atlantic Ave),43.63666667,-79.41972222,18
Augusta Ave / Denison Sq,43.653766,-79.4016759,9
Lansdowne Ave / Wade Ave,43.6587734,-79.443054,15
Lansdowne Ave / Whytock Ave,43.65388889,-79.44138889,6
Sterling Rd / Dundas St W,43.65083333,-79.44305556,8
St Clarens Ave / College St,43.651238,-79.43868,4
Ossington Ave / College St,43.6544915,-79.422634,1
High Park Subway Station,43.6543604,-79.4655296,2
Lake Shore Blvd W / Ellis Ave,43.635932,-79.465083,7
Parkside Dr / Bloor St W,43.654501,-79.460053,9
Sunnyside - Gus Ryder Pool,43.637894,-79.454823,5
Lake Shore Blvd W / Windermere Ave,43.634896,-79.467763,5
Bloor St W / High Park Ave (High Park),43.6535269,-79.4650569,6
