restaurant_name,address,rating,review_count,reslatitude,reslongitude,bikeStationAddress
Agio,1351 St Clair Avenue W,4.5,188,43.67599,-79.45066,Primrose Ave / Davenport Rd
Tre Mari Bakery,1311 Saint Clair Avenue W,4.5,91,43.6765,-79.44868,Primrose Ave / Davenport Rd
Famiglia Baldassarre,122 Geary Avenue,4.5,67,43.67052,-79.4350599,Primrose Ave / Davenport Rd
Rush Hour,1438A Dufferin Street,4.5,46,43.67111,-79.44037,Primrose Ave / Davenport Rd
Farmhouse Tavern,1627 Dupont Street,3.5,264,43.664786604468,-79.45523480746996,Primrose Ave / Davenport Rd
Parallel,217 Geary Avenue,4.0,90,43.6694450818033,-79.4385803863406,Primrose Ave / Davenport Rd
Khmer Thai Restaurant,1018 St Clair Avenue W,4.0,138,43.67937,-79.43781,Primrose Ave / Davenport Rd
The Sovereign,1359 Davenport Road,4.5,34,43.67299,-79.44002,Primrose Ave / Davenport Rd
CANO Restaurant,1108 St Clair Avenue W,4.5,63,43.67871,-79.44058,Primrose Ave / Davenport Rd
Good Behaviour,342 Westmoreland Avenue N,4.5,43,43.670771021124935,-79.434624,Primrose Ave / Davenport Rd
Wallace Espresso,188 Wallace Avenue,4.5,44,43.6624238862292,-79.4442284724458,Primrose Ave / Davenport Rd
King's Tacos,1190 St Clair Avenue W,4.0,78,43.67803,-79.4440599,Primrose Ave / Davenport Rd
Rio 40 Restaurant,1256 Saint Clair Avenue West,4.0,62,43.67747,-79.44643,Primrose Ave / Davenport Rd
Tuckshop Kitchen,1640 Dupont Street,4.5,53,43.66499,-79.45568,Primrose Ave / Davenport Rd
Itacate,998 St. Clair Avenue W,4.5,56,43.6793908547042,-79.4371611624956,Primrose Ave / Davenport Rd
Marcello’s pizzeria,1163 Saint Clair Avenue W,4.0,97,43.67783,-79.4425399,Primrose Ave / Davenport Rd
Koji Japanese Restaurant,1553 Dupont Street,4.5,38,43.6653247110788,-79.4528076801096,Primrose Ave / Davenport Rd
Barista & Chef,1006 Saint Clair Avenue W,4.5,51,43.6794533,-79.4374528,Primrose Ave / Davenport Rd
Sushi California,1238 Saint Clair Avenue W,3.5,95,43.6776399,-79.44563,Primrose Ave / Davenport Rd
Pizza e Pazzi,1182 St Clair Avenue W,4.0,86,43.678,-79.443872,Primrose Ave / Davenport Rd
The Burger's Priest,1636 Queen Street E,3.5,499,43.666699590075,-79.3155846030585,Queen St. E / Rhodes Ave.
Maha's,226 Greenwood Avenue,4.0,573,43.67167,-79.32853,Queen St. E / Rhodes Ave.
Lahore Tikka House,1365 Gerrard Street E,3.5,537,43.67148,-79.32451,Queen St. E / Rhodes Ave.
Chino Locos Original,4 Greenwood Avenue,4.0,190,43.6644821,-79.3255005,Queen St. E / Rhodes Ave.
Lake Inez,1471 Gerrard Street E,4.5,92,43.67234,-79.32064,Queen St. E / Rhodes Ave.
Lazy Daisy's Cafe,1515 Gerrard Street E,4.0,146,43.6726699,-79.3194,Queen St. E / Rhodes Ave.
Udupi Palace,1460 Gerrard Street E,3.5,204,43.67273,-79.3210299,Queen St. E / Rhodes Ave.
Queen Margherita Pizza,1402 Queen Street E,3.5,188,43.664969,-79.324168,Queen St. E / Rhodes Ave.
Casa Di Giorgios,1646 Queen St E,4.0,71,43.6668499,-79.31518,Queen St. E / Rhodes Ave.
O Sushi,6 Coxwell Avenue,4.0,57,43.66654,-79.31693,Queen St. E / Rhodes Ave.
British Style Fish & Chips,73 Coxwell Avenue,4.0,51,43.66861,-79.31723,Queen St. E / Rhodes Ave.
The Sidekick,1374 Queen Street E,4.5,31,43.6645889,-79.3251114,Queen St. E / Rhodes Ave.
Chick-N-Joy,1483 Queen Street E,4.0,54,43.66509,-79.32132,Queen St. E / Rhodes Ave.
Regency Restaurant,1423 Gerrard Street E,4.0,77,43.67201,-79.32238,Queen St. E / Rhodes Ave.
Tea N Bannock,1294 Gerrard Street E,4.5,44,43.671182,-79.3273557,Queen St. E / Rhodes Ave.
Hastings Snack Bar,5 Hastings Avenue,4.5,41,43.66381,-79.32893,Queen St. E / Rhodes Ave.
Motimahal,1422 Gerrard St E,3.5,106,43.6723799,-79.32265,Queen St. E / Rhodes Ave.
The Famous Indian Cuisine,1410 Gerrard Street E,4.0,65,43.67211780345,-79.3232195824385,Queen St. E / Rhodes Ave.
Jaclyn's,1588 Queen Street E,4.5,14,43.66627,-79.31802,Queen St. E / Rhodes Ave.
Toto Sushi,1455 Gerrard Street E,4.5,28,43.672262,-79.3212267,Queen St. E / Rhodes Ave.
Richmond Station,1 Richmond Street W,4.5,857,43.6513729,-79.379285,Bond St / Queen St E
Pai Northern Thai Kitchen,18 Duncan Street,4.5,3298,43.64784,-79.38872,Bond St / Queen St E
Pearl Diver,100 Adelaide Street E,4.0,615,43.65163,-79.37375,Bond St / Queen St E
Blaze Pizza,10 Dundas Street East,4.5,578,43.6565313336776,-79.3800427473602,Bond St / Queen St E
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1772,43.66042406856627,-79.37890046282942,Bond St / Queen St E
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,881,43.656321731393,-79.377499580039,Bond St / Queen St E
Eggspectation,483 Bay Street,4.0,747,43.6532721,-79.3812455,Bond St / Queen St E
Mystic Muffin,113 Jarvis Street,4.5,287,43.652457948594,-79.372548881465,Bond St / Queen St E
George Restaurant,111 Queen Street E,4.5,291,43.65337263523713,-79.37432933100068,Bond St / Queen St E
Sansotei Ramen,179 Dundas Street W,4.0,925,43.655,-79.38643,Bond St / Queen St E
Beerbistro,18 King Street E,4.0,679,43.649467134996364,-79.3771696548727,Bond St / Queen St E
The Carbon Bar,99 Queen Street East,4.0,405,43.6531872633836,-79.3747868765724,Bond St / Queen St E
Byblos,11 Duncan Street,4.5,883,43.647546,-79.388123,Bond St / Queen St E
The Senator,249 Victoria Street,4.0,488,43.65574,-79.37896,Bond St / Queen St E
Canoe,66 Wellington Street  W,4.0,730,43.646954,-79.382159,Bond St / Queen St E
Katsuya,66 Gerrard Street E,4.5,473,43.65995,-79.37882,Bond St / Queen St E
GB Hand-pulled Noodles,66 Edward Street,4.0,569,43.65669,-79.38385,Bond St / Queen St E
Sap,401 Bay Street,3.5,547,43.651946,-79.381114,Bond St / Queen St E
The Poke Box,36 Toronto Street,4.5,175,43.6505,-79.37657,Bond St / Queen St E
Terroni,57A Adelaide Street E,3.5,761,43.6508,-79.3756,Bond St / Queen St E
KINKA IZAKAYA ORIGINAL,398 Church Street,4.0,1772,43.66042406856627,-79.37890046282942,Church St / Alexander St
Katsuya,66 Gerrard Street E,4.5,473,43.65995,-79.37882,Church St / Alexander St
Kintaro Izakaya,459 Church Street,4.0,228,43.66417,-79.38006,Church St / Alexander St
Blaze Pizza,10 Dundas Street East,4.5,578,43.6565313336776,-79.3800427473602,Church St / Alexander St
Banh Mi Boys,399 Yonge Street,4.0,508,43.6590974,-79.3820781,Church St / Alexander St
The Keg Steakhouse + Bar,515 Jarvis Street,4.0,359,43.6668345,-79.3779253,Church St / Alexander St
Hair of the Dog,425 Church Street,4.0,361,43.662946823805,-79.379592870241,Church St / Alexander St
Sansotei Ramen,179 Dundas Street W,4.0,925,43.655,-79.38643,Church St / Alexander St
Riddle Room,579 Yonge Street,4.5,185,43.6657555,-79.3847049,Church St / Alexander St
Hokkaido Ramen Santouka,91 Dundas Street E,4.0,881,43.656321731393,-79.377499580039,Church St / Alexander St
GB Hand-pulled Noodles,66 Edward Street,4.0,569,43.65669,-79.38385,Church St / Alexander St
Si Lom Thai Bistro,534 Church Street,4.0,190,43.66503,-79.38082,Church St / Alexander St
Tinuno,31 Howard Street,4.0,613,43.6711430082347,-79.374853497263,Church St / Alexander St
Salad King Restaurant,340 Yonge Street,3.5,1013,43.65766,-79.38164,Church St / Alexander St
Como En Casa,565 Yonge Street,4.0,240,43.6653391464388,-79.3844996650524,Church St / Alexander St
KINTON RAMEN,396 Church Street,4.0,226,43.6603113,-79.3789004,Church St / Alexander St
Wow Sushi,11 Charles Street,4.0,420,43.6685157490107,-79.3868207931519,Church St / Alexander St
